antecedent,consequent,support,confidence,lift
['sugar'],['soda'],0.0,0.07,0.67
['soda'],['sugar'],0.0,0.01,0.67
['sugar'],['other_vegetables'],0.0,0.07,0.57
['other_vegetables'],['sugar'],0.0,0.01,0.57
['bottled_water'],['sugar'],0.0,0.02,1.33
['sugar'],['bottled_water'],0.0,0.08,1.33
['sugar'],['whole_milk'],0.0,0.14,0.84
['whole_milk'],['sugar'],0.0,0.01,0.84
['long_life_bakery_product'],['tropical_fruit'],0.0,0.06,0.86
['tropical_fruit'],['long_life_bakery_product'],0.0,0.02,0.86
['long_life_bakery_product'],['sausage'],0.0,0.06,0.96
['sausage'],['long_life_bakery_product'],0.0,0.02,0.96
['long_life_bakery_product'],['other_vegetables'],0.0,0.06,0.5
['long_life_bakery_product'],['yogurt'],0.0,0.07,0.75
['yogurt'],['long_life_bakery_product'],0.0,0.01,0.75
['long_life_bakery_product'],['soda'],0.0,0.07,0.73
['soda'],['long_life_bakery_product'],0.0,0.01,0.73
['long_life_bakery_product'],['rolls/buns'],0.0,0.09,0.81
['rolls/buns'],['long_life_bakery_product'],0.0,0.01,0.81
['long_life_bakery_product'],['whole_milk'],0.0,0.13,0.8
['whole_milk'],['long_life_bakery_product'],0.0,0.01,0.8
['waffles'],['tropical_fruit'],0.0,0.06,0.88
['tropical_fruit'],['waffles'],0.0,0.02,0.88
['waffles'],['yogurt'],0.0,0.06,0.68
['yogurt'],['waffles'],0.0,0.01,0.68
['waffles'],['root_vegetables'],0.0,0.07,1.0
['root_vegetables'],['waffles'],0.0,0.02,1.0
['waffles'],['rolls/buns'],0.0,0.09,0.75
['rolls/buns'],['waffles'],0.0,0.01,0.75
['waffles'],['other_vegetables'],0.0,0.09,0.73
['other_vegetables'],['waffles'],0.0,0.01,0.73
['waffles'],['whole_milk'],0.0,0.14,0.83
['whole_milk'],['waffles'],0.0,0.02,0.83
['salty_snack'],['tropical_fruit'],0.0,0.05,0.77
['tropical_fruit'],['salty_snack'],0.0,0.01,0.77
['canned_beer'],['salty_snack'],0.0,0.02,1.11
['salty_snack'],['canned_beer'],0.0,0.05,1.11
['root_vegetables'],['salty_snack'],0.0,0.01,0.79
['salty_snack'],['root_vegetables'],0.0,0.06,0.79
['sausage'],['salty_snack'],0.0,0.02,0.98
['salty_snack'],['sausage'],0.0,0.06,0.98
['soda'],['salty_snack'],0.0,0.01,0.74
['salty_snack'],['soda'],0.0,0.07,0.74
['yogurt'],['salty_snack'],0.0,0.02,0.91
['salty_snack'],['yogurt'],0.0,0.08,0.91
['whole_milk'],['salty_snack'],0.0,0.01,0.59
['salty_snack'],['whole_milk'],0.0,0.1,0.59
['rolls/buns'],['salty_snack'],0.0,0.02,0.9
['salty_snack'],['rolls/buns'],0.0,0.1,0.9
['other_vegetables'],['salty_snack'],0.0,0.02,0.92
['salty_snack'],['other_vegetables'],0.0,0.12,0.92
['bottled_water'],['onions'],0.0,0.02,0.79
['onions'],['bottled_water'],0.0,0.05,0.79
['onions'],['whipped/sour_cream'],0.0,0.05,1.19
['whipped/sour_cream'],['onions'],0.0,0.02,1.19
['onions'],['tropical_fruit'],0.0,0.06,0.86
['tropical_fruit'],['onions'],0.0,0.02,0.86
['onions'],['yogurt'],0.0,0.06,0.7
['yogurt'],['onions'],0.0,0.01,0.7
['onions'],['root_vegetables'],0.0,0.07,0.92
['root_vegetables'],['onions'],0.0,0.02,0.92
['onions'],['soda'],0.0,0.07,0.71
['soda'],['onions'],0.0,0.01,0.71
['onions'],['other_vegetables'],0.0,0.08,0.59
['other_vegetables'],['onions'],0.0,0.01,0.59
['onions'],['rolls/buns'],0.0,0.09,0.74
['rolls/buns'],['onions'],0.0,0.02,0.74
['onions'],['whole_milk'],0.0,0.14,0.86
['whole_milk'],['onions'],0.0,0.02,0.86
['UHT-milk'],['root_vegetables'],0.0,0.05,0.65
['root_vegetables'],['UHT-milk'],0.0,0.01,0.65
['UHT-milk'],['bottled_water'],0.0,0.05,0.79
['bottled_water'],['UHT-milk'],0.0,0.02,0.79
['UHT-milk'],['yogurt'],0.0,0.05,0.59
['yogurt'],['UHT-milk'],0.0,0.01,0.59
['UHT-milk'],['sausage'],0.0,0.05,0.85
['sausage'],['UHT-milk'],0.0,0.02,0.85
['UHT-milk'],['soda'],0.0,0.06,0.58
['soda'],['UHT-milk'],0.0,0.01,0.58
['UHT-milk'],['tropical_fruit'],0.0,0.07,1.03
['tropical_fruit'],['UHT-milk'],0.0,0.02,1.03
['UHT-milk'],['rolls/buns'],0.0,0.08,0.73
['rolls/buns'],['UHT-milk'],0.0,0.02,0.73
['UHT-milk'],['other_vegetables'],0.0,0.1,0.78
['other_vegetables'],['UHT-milk'],0.0,0.02,0.78
['UHT-milk'],['whole_milk'],0.0,0.12,0.7
['whole_milk'],['UHT-milk'],0.0,0.02,0.7
['pastry'],['hamburger_meat'],0.0,0.02,0.88
['hamburger_meat'],['pastry'],0.0,0.05,0.88
['bottled_beer'],['hamburger_meat'],0.0,0.02,1.07
['hamburger_meat'],['bottled_beer'],0.0,0.05,1.07
['root_vegetables'],['hamburger_meat'],0.0,0.02,0.81
['hamburger_meat'],['root_vegetables'],0.0,0.06,0.81
['tropical_fruit'],['hamburger_meat'],0.0,0.02,0.89
['hamburger_meat'],['tropical_fruit'],0.0,0.06,0.89
['yogurt'],['hamburger_meat'],0.0,0.02,0.86
['hamburger_meat'],['yogurt'],0.0,0.08,0.86
['soda'],['hamburger_meat'],0.0,0.02,0.76
['hamburger_meat'],['soda'],0.0,0.08,0.76
['rolls/buns'],['hamburger_meat'],0.0,0.02,0.77
['hamburger_meat'],['rolls/buns'],0.0,0.09,0.77
['other_vegetables'],['hamburger_meat'],0.0,0.02,0.8
['hamburger_meat'],['other_vegetables'],0.0,0.1,0.8
['whole_milk'],['hamburger_meat'],0.0,0.02,0.84
['hamburger_meat'],['whole_milk'],0.0,0.14,0.84
['pastry'],['berries'],0.0,0.02,0.93
['berries'],['pastry'],0.0,0.05,0.93
['bottled_water'],['berries'],0.0,0.02,0.78
['berries'],['bottled_water'],0.0,0.05,0.78
['root_vegetables'],['berries'],0.0,0.01,0.68
['berries'],['root_vegetables'],0.0,0.05,0.68
['pip_fruit'],['berries'],0.0,0.02,1.05
['berries'],['pip_fruit'],0.0,0.05,1.05
['tropical_fruit'],['berries'],0.0,0.02,0.84
['berries'],['tropical_fruit'],0.0,0.06,0.84
['yogurt'],['berries'],0.0,0.02,0.72
['berries'],['yogurt'],0.0,0.06,0.72
['soda'],['berries'],0.0,0.01,0.66
['berries'],['soda'],0.0,0.07,0.66
['rolls/buns'],['berries'],0.0,0.01,0.67
['berries'],['rolls/buns'],0.0,0.08,0.67
['whole_milk'],['berries'],0.0,0.01,0.62
['berries'],['whole_milk'],0.0,0.1,0.62
['other_vegetables'],['berries'],0.0,0.02,0.96
['berries'],['other_vegetables'],0.0,0.12,0.96
['root_vegetables'],['napkins'],0.0,0.01,0.67
['napkins'],['root_vegetables'],0.0,0.05,0.67
['napkins'],['tropical_fruit'],0.0,0.06,0.82
['tropical_fruit'],['napkins'],0.0,0.02,0.82
['citrus_fruit'],['napkins'],0.0,0.03,1.16
['napkins'],['citrus_fruit'],0.0,0.06,1.16
['napkins'],['soda'],0.0,0.07,0.68
['soda'],['napkins'],0.0,0.02,0.68
['rolls/buns'],['napkins'],0.0,0.02,0.68
['napkins'],['rolls/buns'],0.0,0.08,0.68
['yogurt'],['napkins'],0.0,0.02,0.87
['napkins'],['yogurt'],0.0,0.08,0.87
['pastry'],['napkins'],0.0,0.03,1.48
['napkins'],['pastry'],0.0,0.08,1.48
['other_vegetables'],['napkins'],0.0,0.02,0.75
['napkins'],['other_vegetables'],0.0,0.1,0.75
['whole_milk'],['napkins'],0.0,0.01,0.64
['napkins'],['whole_milk'],0.0,0.11,0.64
['dessert'],['curd'],0.0,0.04,1.23
['curd'],['dessert'],0.0,0.03,1.23
['bottled_water'],['dessert'],0.0,0.02,0.72
['dessert'],['bottled_water'],0.0,0.04,0.72
['root_vegetables'],['dessert'],0.0,0.01,0.63
['dessert'],['root_vegetables'],0.0,0.04,0.63
['dessert'],['tropical_fruit'],0.0,0.04,0.65
['tropical_fruit'],['dessert'],0.0,0.02,0.65
['shopping_bags'],['dessert'],0.0,0.02,1.03
['dessert'],['shopping_bags'],0.0,0.05,1.03
['yogurt'],['dessert'],0.0,0.01,0.57
['dessert'],['yogurt'],0.0,0.05,0.57
['dessert'],['soda'],0.0,0.06,0.61
['soda'],['dessert'],0.0,0.01,0.61
['dessert'],['sausage'],0.0,0.06,1.0
['sausage'],['dessert'],0.0,0.02,1.0
['rolls/buns'],['dessert'],0.0,0.02,0.73
['dessert'],['rolls/buns'],0.0,0.08,0.73
['other_vegetables'],['dessert'],0.0,0.02,0.69
['dessert'],['other_vegetables'],0.0,0.09,0.69
['whole_milk'],['dessert'],0.0,0.01,0.6
['dessert'],['whole_milk'],0.0,0.1,0.6
['chocolate'],['bottled_beer'],0.0,0.04,0.92
['bottled_beer'],['chocolate'],0.0,0.02,0.92
['canned_beer'],['chocolate'],0.0,0.02,0.94
['chocolate'],['canned_beer'],0.0,0.04,0.94
['citrus_fruit'],['chocolate'],0.0,0.02,0.83
['chocolate'],['citrus_fruit'],0.0,0.04,0.83
['root_vegetables'],['chocolate'],0.0,0.02,0.7
['chocolate'],['root_vegetables'],0.0,0.05,0.7
['pip_fruit'],['chocolate'],0.0,0.03,1.13
['chocolate'],['pip_fruit'],0.0,0.06,1.13
['chocolate'],['tropical_fruit'],0.0,0.06,0.85
['tropical_fruit'],['chocolate'],0.0,0.02,0.85
['chocolate'],['sausage'],0.0,0.06,0.95
['sausage'],['chocolate'],0.0,0.02,0.95
['bottled_water'],['chocolate'],0.0,0.02,0.94
['chocolate'],['bottled_water'],0.0,0.06,0.94
['yogurt'],['chocolate'],0.0,0.02,0.75
['chocolate'],['yogurt'],0.0,0.07,0.75
['chocolate'],['soda'],0.0,0.07,0.69
['soda'],['chocolate'],0.0,0.02,0.69
['other_vegetables'],['chocolate'],0.0,0.01,0.62
['chocolate'],['other_vegetables'],0.0,0.08,0.62
['rolls/buns'],['chocolate'],0.0,0.02,1.03
['chocolate'],['rolls/buns'],0.0,0.12,1.03
['whole_milk'],['chocolate'],0.0,0.02,0.74
['chocolate'],['whole_milk'],0.0,0.12,0.74
['citrus_fruit'],['cream_cheese_'],0.0,0.02,0.77
['cream_cheese_'],['citrus_fruit'],0.0,0.04,0.77
['cream_cheese_'],['frankfurter'],0.0,0.04,1.08
['frankfurter'],['cream_cheese_'],0.0,0.03,1.08
['cream_cheese_'],['sausage'],0.0,0.05,0.81
['sausage'],['cream_cheese_'],0.0,0.02,0.81
['shopping_bags'],['cream_cheese_'],0.0,0.02,1.03
['cream_cheese_'],['shopping_bags'],0.0,0.05,1.03
['cream_cheese_'],['tropical_fruit'],0.0,0.06,0.85
['tropical_fruit'],['cream_cheese_'],0.0,0.02,0.85
['cream_cheese_'],['soda'],0.0,0.06,0.61
['soda'],['cream_cheese_'],0.0,0.01,0.61
['cream_cheese_'],['root_vegetables'],0.0,0.07,0.94
['root_vegetables'],['cream_cheese_'],0.0,0.02,0.94
['yogurt'],['cream_cheese_'],0.0,0.02,0.75
